Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Sharpe,AvgRR,Status
RENDER,Stoch RSI,1H,0.79,48.1,27,23.7,-11.9,-0.18,0.00,"FAIL (PF 0.79, 27 trades, NP -11.9%)"
PYTH,Stoch RSI,1H,0.42,47.3,74,57.6,-56.7,-0.65,0.00,"FAIL (PF 0.42, DD 57.6%, NP -56.7%)"
RAY,Stoch RSI,1H,0.85,48.7,76,35.9,-17.0,-0.08,0.00,"FAIL (PF 0.85, DD 35.9%, NP -17.0%)"
SOL,FVG,1H,0.26,20.0,60,26.7,-24.3,-1.71,0.00,"FAIL (PF 0.26, WR 20.0%, NP -24.3%)"
ETH,FVG,1H,0.48,28.3,46,14.3,-10.4,-0.78,0.00,"FAIL (PF 0.48, WR 28.3%, NP -10.4%)"
JTO,FVG,1H,16.60,33.3,3,0.9,16.5,0.48,0.00,FAIL (3 trades)
WIF,FVG,1H,0.00,0.0,3,5.9,-5.9,-0.69,0.00,"FAIL (PF 0.00, WR 0.0%, 3 trades, NP -5.9%)"
BONK,FVG,1H,0.33,17.6,74,36.1,-36.1,-1.61,0.00,"FAIL (PF 0.33, WR 17.6%, DD 36.1%, NP -36.1%)"
ORCA,FVG,1H,0.00,0.0,5,16.6,-16.6,-0.56,0.00,"FAIL (PF 0.00, WR 0.0%, 5 trades, NP -16.6%)"
RENDER,FVG,1H,0.44,24.8,101,36.0,-36.0,-1.44,0.00,"FAIL (PF 0.44, WR 24.8%, DD 36.0%, NP -36.0%)"
PYTH,FVG,1H,0.12,9.5,21,26.5,-26.5,-0.90,0.00,"FAIL (PF 0.12, WR 9.5%, 21 trades, NP -26.5%)"
RAY,FVG,1H,0.39,25.6,39,24.3,-23.8,-0.67,0.00,"FAIL (PF 0.39, WR 25.6%, NP -23.8%)"
SOL,MACD Vol,1H,0.18,11.8,17,16.8,-16.8,-1.11,0.00,"FAIL (PF 0.18, WR 11.8%, 17 trades, NP -16.8%)"
ETH,MACD Vol,1H,0.92,15.4,13,6.5,-1.2,-0.02,0.00,"FAIL (PF 0.92, WR 15.4%, 13 trades, NP -1.2%)"
JTO,MACD Vol,1H,0.00,0.0,5,5.9,-5.9,-0.80,0.00,"FAIL (PF 0.00, WR 0.0%, 5 trades, NP -5.9%)"
WIF,MACD Vol,1H,0.18,33.3,9,10.1,-10.5,-0.64,0.00,"FAIL (PF 0.18, 9 trades, NP -10.5%)"
BONK,MACD Vol,1H,0.00,0.0,7,8.0,-8.0,-1.08,0.00,"FAIL (PF 0.00, WR 0.0%, 7 trades, NP -8.0%)"
ORCA,MACD Vol,1H,0.00,0.0,10,60.4,-60.4,-0.80,0.00,"FAIL (PF 0.00, WR 0.0%, 10 trades, DD 60.4%, NP -60.4%)"
RENDER,MACD Vol,1H,0.75,30.0,20,17.3,-8.8,-0.22,0.00,"FAIL (PF 0.75, 20 trades, NP -8.8%)"
PYTH,MACD Vol,1H,0.00,0.0,2,2.4,-2.4,-0.47,0.00,"FAIL (PF 0.00, WR 0.0%, 2 trades, NP -2.4%)"
RAY,MACD Vol,1H,7.22,66.7,3,3.7,25.6,0.41,0.00,FAIL (3 trades)
SOL,Liq Sweep,1H,0.33,40.0,30,23.1,-22.6,-0.94,0.00,"FAIL (PF 0.33, NP -22.6%)"
ETH,Liq Sweep,1H,0.62,46.7,30,12.3,-13.2,-0.35,0.00,"FAIL (PF 0.62, NP -13.2%)"
JTO,Liq Sweep,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,Liq Sweep,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
BONK,Liq Sweep,1H,0.70,66.7,6,12.6,-3.8,-0.27,0.00,"FAIL (PF 0.70, 6 trades, NP -3.8%)"
ORCA,Liq Sweep,1H,0.00,0.0,1,0.0,-44.1,0.00,0.00,"FAIL (PF 0.00, WR 0.0%, 1 trades, NP -44.1%)"
RENDER,Liq Sweep,1H,0.42,63.6,11,21.8,-21.7,-0.26,0.00,"FAIL (PF 0.42, 11 trades, NP -21.7%)"
PYTH,Liq Sweep,1H,0.98,69.2,13,23.0,-0.8,0.04,0.00,"FAIL (PF 0.98, 13 trades, NP -0.8%)"
RAY,Liq Sweep,1H,0.46,43.8,16,22.5,-19.7,-0.31,0.00,"FAIL (PF 0.46, 16 trades, NP -19.7%)"
SOL,ST+ADX,1H,0.16,28.6,7,6.6,-6.6,-0.78,0.00,"FAIL (PF 0.16, WR 28.6%, 7 trades, NP -6.6%)"
ETH,ST+ADX,1H,2.28,37.5,8,6.5,9.8,0.49,0.00,FAIL (8 trades)
JTO,ST+ADX,1H,0.16,20.0,10,69.6,-69.8,-0.67,0.00,"FAIL (PF 0.16, WR 20.0%, 10 trades, DD 69.6%, NP -69.8%)"
WIF,ST+ADX,1H,0.38,34.8,23,35.2,-35.2,-0.83,0.00,"FAIL (PF 0.38, 23 trades, DD 35.2%, NP -35.2%)"
BONK,ST+ADX,1H,0.52,22.2,9,6.4,-6.1,-0.33,0.00,"FAIL (PF 0.52, WR 22.2%, 9 trades, NP -6.1%)"
ORCA,ST+ADX,1H,0.00,0.0,11,74.9,-75.3,-1.15,0.00,"FAIL (PF 0.00, WR 0.0%, 11 trades, DD 74.9%, NP -75.3%)"
RENDER,ST+ADX,1H,0.30,30.8,13,18.8,-16.9,-0.81,0.00,"FAIL (PF 0.30, 13 trades, NP -16.9%)"
PYTH,ST+ADX,1H,1.30,50.0,4,5.5,2.1,-0.34,0.00,"FAIL (PF 1.30, 4 trades)"
RAY,ST+ADX,1H,10.22,50.0,2,0.6,6.2,0.31,0.00,FAIL (2 trades)
SOL,Donch+ADX,1H,0.27,28.6,14,12.2,-11.7,-0.86,0.00,"FAIL (PF 0.27, WR 28.6%, 14 trades, NP -11.7%)"
ETH,Donch+ADX,1H,0.62,30.0,20,10.6,-9.0,-0.39,0.00,"FAIL (PF 0.62, 20 trades, NP -9.0%)"
JTO,Donch+ADX,1H,0.15,16.7,12,73.4,-73.5,-0.74,0.00,"FAIL (PF 0.15, WR 16.7%, 12 trades, DD 73.4%, NP -73.5%)"
WIF,Donch+ADX,1H,0.42,36.4,22,32.5,-32.5,-0.75,0.00,"FAIL (PF 0.42, 22 trades, NP -32.5%)"
BONK,Donch+ADX,1H,0.59,30.0,20,12.0,-12.0,-0.46,0.00,"FAIL (PF 0.59, 20 trades, NP -12.0%)"
ORCA,Donch+ADX,1H,0.00,0.0,13,81.1,-81.1,-1.32,0.00,"FAIL (PF 0.00, WR 0.0%, 13 trades, DD 81.1%, NP -81.1%)"
RENDER,Donch+ADX,1H,0.15,11.1,18,31.3,-31.3,-1.36,0.00,"FAIL (PF 0.15, WR 11.1%, 18 trades, NP -31.3%)"
PYTH,Donch+ADX,1H,0.40,33.3,3,7.9,-4.9,-0.19,0.00,"FAIL (PF 0.40, 3 trades, NP -4.9%)"
RAY,Donch+ADX,1H,0.70,25.0,4,10.8,-3.3,-0.07,0.00,"FAIL (PF 0.70, WR 25.0%, 4 trades, NP -3.3%)"
SOL,EMA+ADX,1H,0.17,8.7,23,22.1,-21.9,-1.47,0.00,"FAIL (PF 0.17, WR 8.7%, 23 trades, NP -21.9%)"
ETH,EMA+ADX,1H,0.23,20.6,34,26.1,-26.1,-1.55,0.00,"FAIL (PF 0.23, WR 20.6%, NP -26.1%)"
JTO,EMA+ADX,1H,0.15,27.3,11,63.8,-60.6,-0.66,0.00,"FAIL (PF 0.15, WR 27.3%, 11 trades, DD 63.8%, NP -60.6%)"
WIF,EMA+ADX,1H,0.41,40.0,20,29.7,-29.0,-0.72,0.00,"FAIL (PF 0.41, 20 trades, NP -29.0%)"
BONK,EMA+ADX,1H,0.28,17.1,35,31.7,-31.7,-1.50,0.00,"FAIL (PF 0.28, WR 17.1%, NP -31.7%)"
ORCA,EMA+ADX,1H,0.00,0.0,11,77.9,-78.0,-1.22,0.00,"FAIL (PF 0.00, WR 0.0%, 11 trades, DD 77.9%, NP -78.0%)"
RENDER,EMA+ADX,1H,0.07,7.7,26,34.1,-34.6,-1.98,0.00,"FAIL (PF 0.07, WR 7.7%, 26 trades, NP -34.6%)"
PYTH,EMA+ADX,1H,0.58,40.0,15,9.2,-6.5,-0.31,0.00,"FAIL (PF 0.58, 15 trades, NP -6.5%)"
RAY,EMA+ADX,1H,0.25,16.7,18,19.3,-18.9,-0.72,0.00,"FAIL (PF 0.25, WR 16.7%, 18 trades, NP -18.9%)"
SOL,VWAP+ADX,1H,0.36,37.5,16,5.6,-7.3,-0.48,0.00,"FAIL (PF 0.36, 16 trades, NP -7.3%)"
ETH,VWAP+ADX,1H,0.32,41.7,12,8.8,-8.0,-0.44,0.00,"FAIL (PF 0.32, 12 trades, NP -8.0%)"
JTO,VWAP+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,VWAP+ADX,1H,0.00,0.0,3,1.9,-1.9,-0.81,0.00,"FAIL (PF 0.00, WR 0.0%, 3 trades, NP -1.9%)"
BONK,VWAP+ADX,1H,0.81,53.8,13,4.5,-1.7,-0.09,0.00,"FAIL (PF 0.81, 13 trades, NP -1.7%)"
ORCA,VWAP+ADX,1H,0.00,0.0,2,0.9,-0.9,-0.71,0.00,"FAIL (PF 0.00, WR 0.0%, 2 trades, NP -0.9%)"
RENDER,VWAP+ADX,1H,1.07,80.0,10,8.5,0.7,0.06,0.00,"FAIL (PF 1.07, 10 trades)"
PYTH,VWAP+ADX,1H,0.62,57.9,38,25.2,-16.1,-0.37,0.00,"FAIL (PF 0.62, NP -16.1%)"
RAY,VWAP+ADX,1H,0.77,56.6,53,29.6,-16.0,-0.18,0.00,"FAIL (PF 0.77, NP -16.0%)"
SOL,StRSI+ADX,1H,0.22,29.4,17,21.2,-18.8,-0.84,0.00,"FAIL (PF 0.22, WR 29.4%, 17 trades, NP -18.8%)"
ETH,StRSI+ADX,1H,0.86,50.0,10,5.2,-1.4,0.10,0.00,"FAIL (PF 0.86, 10 trades, NP -1.4%)"
JTO,StRSI+ADX,1H,99.00,100.0,1,0.0,68.2,0.00,0.00,FAIL (1 trades)
WIF,StRSI+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
BONK,StRSI+ADX,1H,0.35,66.7,3,8.1,-5.2,-0.30,0.00,"FAIL (PF 0.35, 3 trades, NP -5.2%)"
ORCA,StRSI+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
RENDER,StRSI+ADX,1H,1.08,50.0,6,11.9,1.0,0.07,0.00,"FAIL (PF 1.08, 6 trades)"
PYTH,StRSI+ADX,1H,0.42,53.8,52,51.3,-45.1,-0.47,0.00,"FAIL (PF 0.42, DD 51.3%, NP -45.1%)"
RAY,StRSI+ADX,1H,0.75,49.1,55,37.7,-20.1,-0.23,0.00,"FAIL (PF 0.75, DD 37.7%, NP -20.1%)"
SOL,RSI Div,1H,4.98,75.0,8,2.0,10.7,0.86,0.00,FAIL (8 trades)
ETH,RSI Div,1H,1.53,72.7,11,6.5,4.7,0.29,0.00,FAIL (11 trades)
JTO,RSI Div,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,RSI Div,1H,0.87,50.0,2,3.6,-0.5,-0.04,0.00,"FAIL (PF 0.87, 2 trades, NP -0.5%)"
BONK,RSI Div,1H,99.00,100.0,6,0.0,16.6,1.09,0.00,FAIL (6 trades)
ORCA,RSI Div,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
RENDER,RSI Div,1H,0.93,60.0,5,5.8,-0.4,-0.02,0.00,"FAIL (PF 0.93, 5 trades, NP -0.4%)"
PYTH,RSI Div,1H,0.35,40.0,15,28.9,-25.3,-0.32,0.00,"FAIL (PF 0.35, 15 trades, NP -25.3%)"
RAY,RSI Div,1H,1.33,75.0,20,20.3,9.7,0.18,0.00,"FAIL (PF 1.33, 20 trades)"
SOL,Mean Rev,1H,1.24,50.0,14,4.9,1.9,0.16,0.00,"FAIL (PF 1.24, 14 trades)"
ETH,Mean Rev,1H,0.77,58.3,12,11.4,-3.2,-0.15,0.00,"FAIL (PF 0.77, 12 trades, NP -3.2%)"
JTO,Mean Rev,1H,0.56,21.4,14,19.4,-9.2,-0.20,0.00,"FAIL (PF 0.56, WR 21.4%, 14 trades, NP -9.2%)"
WIF,Mean Rev,1H,0.72,35.0,20,15.2,-8.0,-0.21,0.00,"FAIL (PF 0.72, 20 trades, NP -8.0%)"
BONK,Mean Rev,1H,1.19,50.0,10,7.1,2.0,0.14,0.00,"FAIL (PF 1.19, 10 trades)"
ORCA,Mean Rev,1H,33.06,50.0,14,1.3,194.5,0.88,0.00,FAIL (14 trades)
RENDER,Mean Rev,1H,16.01,87.5,16,1.9,40.4,1.52,0.00,FAIL (16 trades)
PYTH,Mean Rev,1H,0.79,58.3,12,21.9,-6.0,-0.07,0.00,"FAIL (PF 0.79, 12 trades, NP -6.0%)"
RAY,Mean Rev,1H,1.41,75.0,12,10.9,5.7,0.16,0.00,FAIL (12 trades)
